ID,movie_name,year,Timing(min),Rating(10),Votes,Genre,Language
tt0248112,ishq ishq,1977.0,-,3.4,23,Musical            ,urdu
tt13666960,aata hoti geli kuthe,1991.0,-,-,-,Comedy            ,marathi
tt3415566,123,2002.0,127 min,5.7,59,Comedy            ,telugu
tt0347920,saajan ki saheli,1981.0,-,5.5,44,"Family, Drama            ",hindi
tt8933650,chanakya,2019.0,147 min,5.4,492,"Action, Adventure, Thriller            ",malayalam
tt0215898,khaan dost,1976.0,157 min,5.6,38,"Action, Crime, Drama            ",hindi
tt1977836,kalsandhya,1997.0,124 min,7.8,11,Drama            ,assamese
tt13654756,ippadikku en kadhal,2007.0,115 min,-,-,Drama            ,tamil
tt0281721,chottanikkara amma,1976.0,132 min,6.6,8,Drama            ,malayalam
tt0250759,sutradhaarulu,1990.0,-,8.1,55,"Drama, Musical            ",telugu
tt3672760,butter & cheese,2014.0,13 min,-,-,"Short, Family            ",nepali
tt1580704,that girl in yellow boots,2010.0,103 min,6.6,"3,574","Crime, Drama, Mystery            ",kannada
tt14492938,aanamuttathe aangalamar,2000.0,108 min,-,-,"Comedy, Drama            ",malayalam
tt0370808,jhankar,1942.0,-,-,-,-,hindi
tt0333636,ira thedunna manushyar,1981.0,-,-,-,-,malayalam
tt1081913,aideu,2007.0,91 min,-,-,-,assamese
tt0203289,american desi,2001.0,100 min,6.6,"1,583","Comedy, Drama, Romance            ",hindi
tt2548030,chettayees,2012.0,-,4.7,134,Family            ,malayalam
tt0352162,ambalakkara panchayath,1988.0,-,-,-,-,malayalam
-,khape,2000.0,-,-,-,Drama            ,gujarati
tt5994746,supportive men,2000.0,21 min,-,-,"Documentary, Short, Family            ",nepali
-,vivash,2000.0,-,-,-,-,hindi
tt11423262,alif laila,2000.0,-,-,-,"Adventure, Fantasy            ",urdu
tt14361576,poila april,2021.0,-,-,-,Drama            ,bengali
tt0406556,bachelor husband,1950.0,-,-,-,-,hindi
tt0156852,oru nadigai natakam pakiral,1978.0,131 min,6.2,12,-,tamil
tt1305021,dunia gol hai,1974.0,-,-,-,-,urdu
tt4209790,chalta purza,1958.0,-,-,-,Fantasy            ,hindi
tt6588966,hichki,2018.0,116 min,7.5,"10,905","Comedy, Drama            ",hindi
tt0363777,lover boy,1985.0,-,4.1,19,"Drama, Romance            ",hindi
tt0962716,babul,1986.0,162 min,4.8,9,Drama            ,hindi
tt7683212,babu,2020.0,26 min,-,-,"Short, Drama            ",nepali
tt9725092,swabhimaan,2019.0,122 min,-,-,Drama            ,gujarati
tt0214941,meera,1947.0,120 min,7.7,14,-,hindi
tt0314566,red indians,2001.0,-,4.7,15,-,malayalam
tt1319643,navabharata,1988.0,-,-,-,-,kannada
tt11102314,tribhanga,2021.0,95 min,6.1,"2,406","Drama, Family            ",hindi
tt13980542,sri bannari amman,2002.0,149 min,-,-,Drama            ,tamil
tt13212228,dear love,2000.0,-,-,-,-,nepali
tt13057554,apoorva mahaan,2015.0,135 min,-,-,Drama            ,tamil
tt11543304,haidar sultan,1982.0,-,-,-,"Action, Drama            ",punjabi
tt11536276,3 monkeys,2020.0,131 min,6.5,82,Drama            ,telugu
tt6650364,carbon,2000.0,146 min,6.9,"1,115","Adventure, Thriller            ",malayalam
tt0277061,kaapalika,1973.0,131 min,7.8,5,-,malayalam
tt1339453,karunamayi,1987.0,137 min,-,-,-,kannada
-,phone bhoot,2021.0,-,-,-,"Comedy, Horror            ",hindi
tt4417674,aag aur angaray,1990.0,-,-,-,Action            ,hindi
tt10626550,athmasakhi,2000.0,-,-,-,-,malayalam
tt13086918,vachikava,2014.0,-,-,-,Drama            ,tamil
tt4954470,krishna arjun,2004.0,-,-,-,Action            ,hindi
tt0152133,rahi,1953.0,139 min,6.9,27,Drama            ,hindi
tt0436165,chaukat raja,1991.0,141 min,7.4,214,Family            ,marathi
tt13730178,school master,2010.0,143 min,-,-,Drama            ,kannada
tt4920116,halla gulla,2015.0,-,5.2,77,"Action, Comedy            ",urdu
tt1954666,monopoly the game of money,2012.0,-,-,-,Thriller            ,hindi
tt0246053,maga maharaju,1983.0,-,6.8,30,"Comedy, Drama, Romance            ",telugu
tt12976166,band baaja babuchak,2017.0,123 min,-,-,Comedy            ,gujarati
tt0355250,bebbuli veta,1985.0,-,-,-,-,telugu
tt3439838,gita,2008.0,-,-,-,Drama            ,telugu
tt0273321,kusruthi kuruppu,1998.0,135 min,5.8,40,"Comedy, Drama            ",malayalam
tt0329393,mr. and mrs. iyer,2002.0,120 min,7.9,"4,681",Drama            ,tamil
tt6868074,siyaasat,2000.0,-,-,-,History            ,urdu
tt0311337,inth ka jawab patthar,2002.0,-,3.2,9,"Musical, Action            ",hindi
-,qalb,2000.0,-,-,-,"Drama, Romance            ",malayalam
tt0151765,nisithe,1963.0,-,7.2,10,Drama            ,bengali
tt12121480,cabbie,2019.0,19 min,-,-,"Short, Horror            ",nepali
tt0254936,advaitham,1991.0,181 min,7.0,275,"Action, Crime, Drama            ",malayalam
tt0317900,maruppacha,1982.0,-,-,-,-,malayalam
tt0454491,kachehari,1994.0,-,6.4,14,Action            ,punjabi
tt0455261,kismet road,2000.0,30 min,-,-,Drama            ,urdu
tt2543854,fever,2009.0,-,8.5,8,"Short, Fantasy            ",nepali
tt7586994,kaashi amarnath,2017.0,162 min,4.7,11,"Action, Drama, Romance            ",bhojpuri
tt0429541,afsana dilwalon ka,2001.0,195 min,3.6,"1,024","Drama, Romance            ",urdu
-,paradise street,2000.0,-,-,-,"Comedy, Romance, Thriller            ",hindi
tt14434198,namukkore aakasham,2015.0,115 min,-,-,Drama            ,malayalam
tt8806546,argentina fans kaattoorkadavu,2019.0,140 min,4.7,319,"Drama, Sport            ",malayalam
tt3848938,mr. x,2015.0,133 min,3.8,"1,816","Action, Drama, Sci-Fi            ",hindi
tt0482805,nakhuda,1968.0,-,-,-,-,urdu
tt0268520,pakhandi,1984.0,138 min,6.5,26,Drama            ,hindi
tt0325620,ini ethra sandhyakal,1979.0,-,-,-,-,malayalam
tt2498312,bachchan,2013.0,145 min,6.6,926,"Action, Crime, Thriller            ",kannada
tt3877652,desi kattey,2014.0,139 min,4.0,125,Action            ,hindi
tt0329724,vaddante dabbu,1954.0,139 min,6.6,10,"Comedy, Drama            ",telugu
tt4952766,nooran,1957.0,-,-,-,Romance            ,punjabi
tt0374069,murderer,1935.0,-,-,-,-,hindi
tt6853994,tharangam,2017.0,153 min,6.3,478,"Action, Comedy            ",malayalam
tt14191284,zunjar,2003.0,-,-,-,-,marathi
tt2929820,pyase nain,1989.0,-,-,-,Drama            ,hindi
tt2714450,anokha chamatkar,1988.0,-,-,-,Drama            ,hindi
tt8178538,vasudhaika 1957,2016.0,-,-,-,Horror            ,telugu
tt0414156,insaan aur shaitan,1970.0,-,5.1,14,Action            ,hindi
tt9729774,sapthagiri llb,2017.0,138 min,7.2,56,"Comedy, Drama            ",telugu
tt5242076,prem vidrohi,2012.0,-,-,-,Action            ,bhojpuri
tt5948916,manamantha,2016.0,164 min,7.7,840,Drama            ,telugu
tt2549618,august 2,2012.0,-,4.2,9,Thriller            ,hindi
tt6444022,ponge ezhu manohara,2015.0,-,-,-,"Comedy, Drama            ",tamil
-,maayon,2000.0,-,-,-,"Mystery, Thriller            ",tamil
tt3411076,1:13:7 ek tera saath,2016.0,120 min,5.7,57,Horror            ,hindi
tt4604852,diyar bhojai,1980.0,-,-,-,Romance            ,gujarati
tt3949344,sair-e-paristan,1958.0,-,-,-,Fantasy            ,hindi
tt1757789,lalkare sheran de,1994.0,117 min,-,-,Action            ,punjabi
tt4651494,azad champion,1968.0,-,-,-,Action            ,hindi
tt1475422,thazampoo,1965.0,-,6.8,6,-,tamil
tt0249571,haseena 420,1988.0,-,6.2,5,-,urdu
tt11286160,record,2019.0,81 min,-,-,Horror            ,urdu
tt1310391,raogari illu,1988.0,-,-,-,"Comedy, Drama            ",telugu
tt4597882,proud to be a sikh,2014.0,92 min,7.2,20,Drama            ,punjabi
tt1102297,paranju theeratha visheshangal,2007.0,-,6.3,6,-,malayalam
tt6957140,banna bannada baduku,2017.0,-,-,-,Drama            ,kannada
tt9081472,aickarakkonathe bhishaguaranmaar,2018.0,144 min,7.8,239,Drama            ,malayalam
tt0252636,laxmi,1957.0,118 min,-,-,"Drama, Family            ",hindi
