city,theatre_name,average_ticket_price,total_seats,no_screens,type,lat,lon,source_of_information
Bangalore,Sri Lakshmi Theatre: Ramamurthy Nagar,100.0,618,1,0,13.0103,77.67387,"BookMyShow, MediaAnt"
Bangalore,"Sri Madeswara Chitra Mandira, Bangalore",183.50891304903845,1250,1,0,12.9156484,77.5633059,MediaAnt
Bangalore,"Sri Maruthi Theatre, Rajagopal Nagar",183.50891304903845,1119,1,0,13.0122659,77.5098421,MediaAnt
Bangalore,Sri Renuka Prasanna Theatre: J P Nagar,104.0,1078,1,0,12.91506,77.58783,"BookMyShow, Internet Research"
Bangalore,"Sri Siddalingeswara Chitra Mandira, Bangalore",183.50891304903845,940,1,0,12.9037028,77.5804877,MediaAnt
Bangalore,Sri Srinivasa Theatre: Padmanabanagara,110.0,725,1,0,12.90898,77.55804,"BookMyShow, Internet Research"
Bangalore,Sri Vajreshwari Theatre: Ullal,110.0,844,1,0,12.94238,77.48814,"BookMyShow, MediaAnt"
Bangalore,Sri Venkateshwara Theatre: Kengeri,100.0,500,1,0,12.90644,77.48277,"BookMyShow, MediaAnt"
Bangalore,Sri Vinayaka A/C Digital 2K Cinemas: Varthur,138.3333333,531,1,0,12.93572,77.74443,"BookMyShow, Internet Research"
Bangalore,Sri Vinayaka Digital 2K Cinema (D.J.Halli),109.0,850,1,0,13.0144,77.60564,"BookMyShow, MediaAnt"
Bangalore,"Srinivasa Chitra Mandira, Kadugodi",183.50891304903845,625,1,0,12.9885232,77.7660591,MediaAnt
Bangalore,Srinivasa Digital 4K Cinema: S.G. Palya,132.5,800,1,0,12.93188,77.60772,"BookMyShow, MediaAnt"
Bangalore,"Sujatha Talkies, Deepanjalinagar",183.50891304903845,450,1,0,12.9618776,77.5473551,MediaAnt
Bangalore,"Super Talkies, Chickpet",183.50891304903845,619,1,0,12.9678583,77.5699123,MediaAnt
Bangalore,"The Cinema GT World: Magadi Rd, Bengaluru",195.8333333,1155,5,1,12.97345,77.55171,BookMyShow
Bangalore,Thirumala Digital 2K Cinema: Agara,108.5,904,1,0,12.91991,77.64969,"BookMyShow, MediaAnt"
Bangalore,Triveni Theatre: Gandhinagar,109.0,800,1,0,12.97628,77.57538,"BookMyShow, MediaAnt"
Bangalore,"Tulsi Chitra Mandira, Marathalli",183.50891304903845,800,1,0,12.956319,77.6981967,MediaAnt
Bangalore,"Uma Theatre, Chamrajpet",183.50891304903845,984,1,0,12.9554065,77.567022,MediaAnt
Bangalore,Urvashi Digital 4K Cinema: Lalbagh Road,237.5,1100,1,0,12.95607,77.58541,BookMyShow
Bangalore,Vaibhav Digital 4K Cinema: Sanjaynagar,142.3333333,935,1,0,13.03558,77.57463,"BookMyShow, Internet Research"
Bangalore,Vaibhavi A/C Theatre: Uttarahalli,105.0,715,1,0,12.90348,77.54415,"BookMyShow, MediaAnt"
Bangalore,Vainidhi Digital 2K Cinemas (Chandan): Singapura,110.0,725,1,0,13.07427,77.5405,"BookMyShow, MediaAnt"
Bangalore,Vaishnavi A/C Theatre: Uttarahalli,120.0,800,1,0,12.90348,77.54415,"BookMyShow, MediaAnt"
Bangalore,Veerabhadreshwara Theatre: Kamala Nagar,97.5,898,1,0,12.9931,77.52909,BookMyShow
Bangalore,Veeresh Cinemas Screen 1: Magadi Rd,80.0,178,1,0,12.97707,77.54595,BookMyShow
Bangalore,Veeresh Cinemas Screen 2: Magadi Rd,100.0,214,1,0,12.97707,77.54595,BookMyShow
Bangalore,Venkateshwara A/c Digital 2K Cinema: K.R.Puram,104.0,877,1,0,13.00525,77.69667,BookMyShow
Bangalore,"Venkateshwara Cinemas: Gollarahatti,Magadi Rd",90.0,300,1,0,12.98848,77.47392,BookMyShow
Bangalore,Venkateshwara Digital 2K Cinema: Avalahalli Girina,100.0,363,1,0,12.94351,77.54797,BookMyShow
Bangalore,Vijay Theatre: Byatarayanapura,118.0,912,1,0,12.94846,77.53969,"BookMyShow, MediaAnt"
Bangalore,Vijayalakshmi Digital 2K Cinema: Garudacharpalya,100.0,671,1,0,12.99348,77.70187,"BookMyShow, MediaAnt"
Bangalore,"Vinayaka Chitra Mandira, Marathahalli",183.50891304903845,723,1,0,12.9557258,77.6995081,MediaAnt
Bangalore,"Vinayaka Theatre, Chamrajpet",183.50891304903845,1004,1,0,12.9632205,77.5663841,MediaAnt
Bangalore,Vinayaka Theatre: Harinagar,80.0,850,1,0,12.87488,77.57015,"BookMyShow, MediaAnt"
Bangalore,Vishal A/C Theatre: Kamakshipalya,80.0,875,1,0,12.98318,77.53018,"BookMyShow, MediaAnt"
Bangalore,"Vullas Theatre, Yeshwantpura",183.50891304903845,961,1,0,13.019888,77.551474,MediaAnt
Chennai,Abirami Cinemas: Chennai,113.5833333,1656,4,1,13.086,80.24809,BookMyShow
Chennai,"Agasthiya, T.H Road",97.97240740555556,1004,1,0,13.1239102,80.2878637,MediaAnt
Chennai,AGS Cinemas: T. Nagar,82.7,884,4,1,13.04745,80.24485,BookMyShow
Chennai,AGS Cinemas: Villivakkam,82.7,1473,5,1,13.10471,80.209,BookMyShow
Chennai,Albert Complex,97.97240740555556,1200,1,0,13.0761554,80.2638409,Internet Research
Chennai,Anna Theatre: Chennai,94.6,364,1,0,13.06717,80.27129,"BookMyShow, Internet Research"
Chennai,"Annai Karumari, Virugambakkam",97.97240740555556,196,1,0,13.0530785,80.1931011,MediaAnt
Chennai,Arvind Theatre A/C dts,97.97240740555556,445,1,0,12.9153435,80.2297244,Internet Research
Chennai,AVM Rajeswari A/C dts,97.97240740555556,603,1,0,13.0475424,80.2046086,Internet Research
Chennai,"Baby Albert Theatre, Whannels Road",97.97240740555556,242,1,0,13.0761555,80.263841,MediaAnt
Chennai,"Bala Theatre, Anna Road",97.97240740555556,518,1,0,13.0949014,80.1855746,MediaAnt
Chennai,Bharath Theatre Dolby AtmosDolby Atmos,97.97240740555556,963,1,0,13.1102599,80.2797875,Internet Research
Chennai,Casino Theatre: Chennai,59.0,83,1,0,13.06868,80.27017,BookMyShow
Chennai,"Chandran Theatre, Ashoknagar",97.97240740555556,515,1,0,13.0347676,80.2104299,MediaAnt
Chennai,Devi Karumari A/C,97.97240740555556,850,1,0,13.0499059,80.1934024,Internet Research
Chennai,Devicineplex,97.97240740555556,2462,1,0,13.0662224,80.2707235,Internet Research
Chennai,Ega Cinema,97.97240740555556,1168,2,1,13.0778725,80.2404635,Internet Research
Chennai,Ganapathy Ram Theatre: Chennai,90.0,852,1,0,13.00397,80.25632,"BookMyShow, MediaAnt"
Chennai,GK Cinemas 2K Dolby Atmos: Porur,116.19,557,2,1,13.03374,80.16108,BookMyShow
Chennai,INOX National: Arcot Road,153.6,1182,5,1,13.04689,80.19036,BookMyShow
Chennai,"INOX: Chennai Citi Centre, Dr. RK Salai",153.6,528,4,1,13.04295,80.27379,BookMyShow
Chennai,Jothi Theatre 4K A/c DTS: ST Thomas Mount,0.0,805,1,0,13.00611,80.20134,"BookMyShow, Internet Research"
Chennai,Kamala CinemasF&B;,97.97240740555556,586,1,0,13.0489837,80.2101709,Internet Research
Chennai,Kasi4K Dolby Atmos,97.97240740555556,733,1,0,13.0294637,80.2084348,Internet Research
Chennai,"Krishnaveni, South Usman Raod",97.97240740555556,898,1,0,13.0346055,80.2307106,MediaAnt
Chennai,Kumaran Theatre QUBE A/C DTS: Madipakkam,0.0,1008,1,0,12.97191,80.19214,"BookMyShow, Internet Research"
Chennai,Luxe Cinemas: Chennai,153.6,1844,9,1,12.99154,80.21681,BookMyShow
Chennai,"Mahalakshmi Talkies, Strahans Road",97.97240740555556,1040,1,0,13.0975215,80.256593,MediaAnt
Chennai,Maharani Theatre 2K dts,97.97240740555556,910,1,0,13.1175008,80.2842433,Internet Research
Chennai,"Mayura, Arakonam Road",97.97240740555556,474,1,0,13.0997993,80.1698389,MediaAnt
Chennai,MM Theatre,97.97240740555556,772,1,0,13.1260232,80.2896379,Internet Research
Chennai,Murugan Cinemas - AmbatturDolby Atmos,97.97240740555556,960,1,0,13.1135444,80.1572574,Internet Research
Chennai,Nadhamuni Cinema,97.97240740555556,650,1,0,13.1034052,80.2022335,Internet Research
Chennai,"Padmam, Poonamallee High Road",97.97240740555556,420,1,0,13.0690757,80.1889014,MediaAnt
Chennai,"Pandian, Moolakadai",97.97240740555556,1002,1,0,13.1322548,80.2424585,MediaAnt
Chennai,"PVR: Ampa, Chennai",82.7,1794,7,1,13.07359,80.22138,"BookMyShow, MediaAnt"
Chennai,"PVR: Velachery, Chennai",82.7,1275,5,1,12.97195,80.22036,"BookMyShow, MediaAnt"
Chennai,Raj Theatre - A/C DTS: Chennai,175.0,950,1,0,13.0196,80.22324,BookMyShow
Chennai,Rakki Cinemas - Ambattur,97.97240740555556,361,1,0,13.1227657,80.1476317,Internet Research
Chennai,Rohini Silver Screens: Chennai,104.03,3175,7,1,13.07575,80.19586,BookMyShow
Chennai,"Roopam, Poonamallee High Road",97.97240740555556,288,1,0,13.0797983,80.2025852,MediaAnt
Chennai,Sangam Cinemas,97.97240740555556,1662,3,1,13.0794633,80.2492933,Internet Research
Chennai,"Saravana Theatre, Brick Kiln Road",97.97240740555556,600,1,0,13.0928614,80.2515167,MediaAnt
Chennai,"Sathyam Royapettah, Lloyds Estate",97.97240740555556,2283,6,1,13.0553683,80.2579668,MediaAnt
Chennai,"SK-Marlen Cinemas 2K, Guindy: Alandur",150.0,229,1,0,13.00176,80.20358,"BookMyShow, Internet Research"
Chennai,"Spectrum Mall, Perambur North",97.97240740555556,1395,5,1,13.1122465,80.2363247,MediaAnt
Chennai,Sri Bhuvaneshwari Theatre A/C dts,97.97240740555556,565,1,0,13.0916293,80.2583516,Internet Research
Chennai,Sri Ganga Cinemas Dolby Atmos - KolathurDolby Atmos,97.97240740555556,772,1,0,13.1252216,80.2181625,Internet Research
Chennai,"Sri Murugan, Ambattur",97.97240740555556,960,1,0,13.100996,80.164051,MediaAnt
Chennai,Srinivasa Theatre,97.97240740555556,900,1,0,13.0310779,80.2250651,Internet Research
Chennai,"The Forum Vijaya Mall, Vadapalani",97.97240740555556,3010,9,1,13.0497383,80.2095368,MediaAnt
Chennai,"Thirumurugan, Ambattur",97.97240740555556,510,1,0,13.1212603,80.1513583,MediaAnt
Chennai,Udhayam Complex,97.97240740555556,759,1,0,12.9596264,80.2433274,Internet Research
Chennai,"Udhayam Theatre, Ashoknagar",97.97240740555556,759,1,0,13.0346888,80.2103968,MediaAnt
Chennai,Vetrrivel Theatre 2K - Nanganallur,97.97240740555556,600,1,0,12.9801087,80.1821216,Internet Research
Chennai,Woodlands Complex: Chennai,69.5,1713,2,1,13.05656,80.26497,"BookMyShow, MediaAnt"
