movie_id,movie_name,year,genre,overview,director,cast
tt7782402,the storyteller,2022.0,Drama,"Based on Satyajit Ray's short story ""Golpo Boliye Tarini Khuro"" about originality versus plagiarism.",Anant Mahadevan,"Paresh Rawal, Adil Hussain, Revathi, Tannishtha Chatterjee"
tt0418880,mere jeevan saathi,2006.0,"Drama, Music, Romance","Back in college, Natasha was obsessed with Vicky, who has become a successful rock star. Nothing ever happened between them, however. At the time, Vicky was in love with Anjali, who one ...                See full summary »",Suneel Darshan,"Akshay Kumar, Karisma Kapoor, Ameesha Patel, Gulshan Grover"
tt2339505,kochadaiiyaan,2014.0,"Animation, Action, Adventure","A noble warrior seeks revenge against the ruler of his kingdom, who killed his father, and also ends up upsetting the neighboring enemy kingdom's ruler.",Soundarya Rajinikanth Vishagan,"Rajinikanth, Deepika Padukone, R. Sarathkumar, Jackie Shroff"
tt0260411,tahkhana,1986.0,"Action, Drama, Horror","A dying Thakur Surjeet Singh bequeaths the entire estate to his son, Raghuvir, disowning the other, Dhurjan, the family's black sheep, who also indulges in black magic. The latter swears to...                See full summary »","Shyam Ramsay, Tulsi Ramsay","Hemant Birje, Kamran Rizvi, Arti Gupta, Preeti Sapru"
tt21357600,bombay,2023.0,Action,"Ulas Mhatre, an underworld don operates activities with his trusted members Nana, Tatya, and Sherry. Things changes when Tatya goes missing with no evidence.",Sanjay Niranjan,"Gavie Chahal, Deepshikha Nagpal, Danish Bhatt, Ganesh Pai"
tt0107321,king uncle,1993.0,"Comedy, Drama, Family","When a runaway orphan ends up at the house of a cruel millionaire, she decides to alter his perception of the world.",Rakesh Roshan,"Jackie Shroff, Shah Rukh Khan, Nagma, Sushmita Mukherjee"
tt1169270,don,2007.0,"Action, Crime, Drama",A poor man becomes a benevolent gangster but faces threat from an even bigger gangster.,Raghava Lawrence,"Nagarjuna Akkineni, Anushka Shetty, Raghava Lawrence, Nikhita"
tt16235600,chhota bheem aur krishna: mayanagari,2011.0,"Animation, Action, Fantasy","After Krishna stops Maayandri from releasing her brother, Kirmada, Maayandri decides to exact revenge on him. Later, Bheem and his friends set out to rescue Krishna and defeat Maayandri.",Rajiv Chilaka,Vatsal Dubey
tt18377806,bedhadak,2012.0, ,"Romantic triangular LoveStory of 3 characters Karan, Angad and Nimrit,, which gives amazing drama and emotions..!.",Shashank Khaitan,"Lakshya, Vikram Bhatt, Shanaya Kapoor, Gurfateh Pirzada"
tt3698454,yaara,2020.0,"Action, Crime, Drama",Former criminals reunite after years to rescue a friend arrested by the police.,"Manish Soni, Tigmanshu Dhulia","Vidyut Jammwal, Amit Sadh, Mohommed Ali Shah, Kenny Basumatary"
tt8647400,de de pyaar de,2019.0,"Comedy, Drama, Romance",A 50-year-old single father faces disapproval from his family and his ex-wife when he falls in love with a 26-year-old woman.,Akiv Ali,"Ajay Devgn, Tabu, Rakul Preet Singh, Jimmy Shergill"
